지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 시각(hhmi),평균 풍속(m/s),평균 상대습도(%),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),평균 지면온도(°C),평균 30cm 지중온도(°C),5.0m 지중온도(°C)
184,2014-06-11,21.4,19.4,508,24.4,1526,0.43,0,0,0,0,0,6.7,1159,4.8,1110,2.4,83,1300,3.29,22.25,0,0,0,0,30.8,24.1,15.8
184,2014-06-12,20.8,19.4,541,23.1,1344,0.27,0,0,0,0,0,8.1,1716,5.3,1629,3.1,81.4,1300,3.31,24.38,0,0,0,0,30.2,24.7,15.9
184,2014-06-13,22.3,19.6,119,25.2,1550,0,0,0,0,0,0,10.4,1243,6,1324,3.8,70,1200,3.29,24.98,0,0,0,0,31.2,25.1,16.1
184,2014-06-14,22.5,20.8,356,25.7,1533,0,0,0,0,0,0,7.5,17,4.7,955,2.8,79.1,1300,3.19,24.37,0,0,0,0,32.7,25.4,16.1
184,2014-06-15,22.8,20.5,42,25.1,1729,0,0,0,0,0,0,6.8,1250,4.9,1258,2.4,69.3,1200,3.16,21.75,0,0,0,0,30.8,25.7,16.2
184,2014-06-16,22.6,20.7,2359,25.2,1326,10.05,0.3,2305,0.4,1948,1,6.7,1143,4.8,1148,2.3,75.5,1200,2.56,11.6,0,0,0,0,26.4,25.5,16.4
184,2014-06-17,18.6,17.3,837,20.7,1,23.58,1.6,744,6.4,741,42.4,15.2,1323,7.3,1300,3.3,90.3,1200,0.9,4.38,0,0,0,0,19.2,24.2,16.1
184,2014-06-18,20.7,17.9,144,24.7,1522,6.8,0.4,116,1.4,109,3.4,7.9,222,4.8,224,1.9,80.1,1300,3.18,19.68,0,0,0,0,23.7,22.8,16.1
184,2014-06-19,21.8,18.9,540,24.3,1507,0,0,0,0,0,0,5.3,1109,4.3,1103,1.9,80.9,1200,3.34,26.82,0,0,0,0,27.5,23.6,16.1
184,2014-06-20,22.6,19.4,401,25.9,1222,1.17,0,0,0,0,0,13.1,1614,6.8,1653,2.5,75.6,1000,2.63,14.21,0,0,0,0,24.1,24.1,16.1
184,2014-06-21,20.9,19.6,2347,22.2,37,17.08,1.3,1644,5.3,1605,12.5,10.4,1155,6.2,1157,3.4,91.1,1000,0.42,2.83,0,0,0,0,21.6,23.8,16.1
184,2014-06-22,21.3,19.6,1,22.9,1113,4.2,0.6,259,2.2,247,3,8,2,4.6,1458,1.9,83.1,1400,1.46,9.39,0,0,0,0,22.9,23,16
184,2014-06-23,21.6,19.7,549,23.7,1447,0,0,0,0,0,0,6,1843,4.2,1849,1.9,84.3,1400,1.93,15.09,0,0,0,0,23.7,23.1,16.1
184,2014-06-24,22.2,20.5,408,24.4,1411,0.22,0,0,0,0,0,8.4,1256,5.1,1121,3.4,82.5,1200,3.47,25.93,0,0,0,0,27.9,23.6,16.3
184,2014-06-25,21.9,20.2,544,23.7,1229,0,0,0,0,0,0,4.9,352,3.6,356,1.8,82,1100,1.57,10.78,0,0,0,0,24.4,24.1,16.2
184,2014-06-26,22.2,20.8,522,25.6,1305,1.92,0.1,245,0.1,155,0.1,10.6,1405,6.3,1407,2.2,79.4,1100,1.83,10.29,0,0,0,0,23.6,23.9,16.1
184,2014-06-27,23,21,257,25.4,1058,0.7,0,0,0,0,0,8,1126,6.1,1129,2.7,81.5,1200,3.44,24.92,0,0,0,0,31,24,16.2
184,2014-06-28,23.4,21.6,238,25.9,1340,0,0,0,0,0,0,9.9,1539,6.6,1502,3.5,78.4,1300,3.26,24.48,0,0,0,0,29.3,25.1,16.5
184,2014-06-29,24.6,20.9,323,29.7,1345,0,0,0,0,0,0,10.5,1624,6.4,1353,4.1,61.9,1100,3.37,26.77,0,0,0,0,30.7,25.6,16.9
184,2014-06-30,24.4,22.1,425,27.1,1445,0,0,0,0,0,0,8.6,2149,5.7,1845,3.5,72.5,1200,3.44,26,0,0,0,0,33.3,26.2,16.7
184,2014-07-01,24.8,22.9,2321,27.4,1208,0,0,0,0,0,0,8.7,14,4.9,21,3,61,1200,3.16,20.37,0,0,0,0,30.5,26.6,16.8
184,2014-07-02,21.8,20.8,1838,23,1249,18.17,2.5,1758,4.3,1743,10.6,14,1252,6,1254,1.7,82.8,1200,0.87,5.6,0,0,0,0,23.3,26.2,16.5
184,2014-07-03,23.5,21.3,1,26.4,1144,3.18,0.3,1538,0.5,1510,0.6,12.2,1133,7.8,1133,4,85.9,1100,3.32,17.12,0,0,0,0,24.6,25.1,17.1
184,2014-07-04,22.9,21.9,435,24.2,1242,2.82,0.1,607,0.1,517,0.1,6,730,4.2,1,2.5,86.8,1200,2.02,9.74,0,0,0,0,24.1,25,17
184,2014-07-05,22.3,20,2349,24.2,1131,22.15,1.3,2233,5.2,2231,13.5,10.9,1246,5.8,2041,3,74.9,1300,0.99,5.65,0,0,0,0,21.7,24.6,16.6
184,2014-07-06,22.7,20.1,1,25.5,1528,12.3,14.2,1256,33.3,1239,134.7,11,1018,6.1,1019,2.4,87.5,1400,2.07,5.72,0,0,0,0,23.7,22.8,16.7
184,2014-07-07,22.8,21.7,311,24.4,1410,0,0,0,0,0,0,5.1,1414,4,1419,1.6,90.6,900,1.82,11.09,0,0,0,0,24.6,23.2,16.7
184,2014-07-08,25.8,21.6,531,31.5,1635,1.43,0,0,0,0,0,10.8,1823,6,1755,2.3,82.4,1300,3.07,21.6,0,0,0,0,29,24.2,16.7
184,2014-07-09,23.5,21.5,2210,25.2,336,20.77,3.7,1057,14.1,526,65,22.7,1055,10.6,1619,6.7,93.5,1300,1.24,6.39,0,0,0,0,24.5,25.1,16.8
184,2014-07-10,23.3,21,135,24.7,1026,2.58,0.3,30,1.3,30,2,11.3,16,8.5,21,4.3,91.1,1000,1.4,8.17,0,0,0,0,24,24.6,17.4
184,2014-07-11,24.9,23.3,1,28.6,1623,0.18,0,0,0,0,0,7.5,859,4.6,2,3,69.9,1300,1.26,9.47,0,0,0,0,23.2,24.4,17.7
184,2014-07-12,23.9,22.7,458,26.1,1432,6.18,0.7,1725,1.6,1725,1.8,4.9,19,3,1717,1.3,84.5,1300,1.91,7.94,0,0,0,0,24.9,24.5,17
184,2014-07-13,22.1,21.5,727,23.4,18,11.85,3.5,250,7.7,250,16.6,6.8,641,3.7,18,1.6,92.9,1300,0.62,3.88,0,0,0,0,22.9,24.5,17.1
184,2014-07-14,23.9,21.9,1,27,1311,0,0,0,0,0,0,6.8,1625,4.7,1632,2.4,77,1200,3.11,20.62,0,0,0,0,25.1,24.4,17.2
184,2014-07-15,23.2,22,210,26.8,1325,9.8,2.9,2019,9,1938,27.5,4.6,948,3.4,953,1.1,90.1,1000,2.43,10.49,0,0,0,0,24.5,25,17
184,2014-07-16,24,22.2,122,26.4,1232,1.72,0,0,0,0,0,6.6,607,4.5,655,1.8,88.1,1100,1.91,13.11,0,0,0,0,26,25.1,17
184,2014-07-17,24.9,22.1,336,27.3,1507,1.95,2.7,335,11,326,13.9,12.2,307,7.3,314,1.8,87.5,1300,2.06,13.89,0,0,0,0,26.4,25.4,17.1
184,2014-07-18,25.8,23.2,302,29.1,1552,0.52,0,0,0,0,0,5.5,1618,4.2,1604,1.6,84.3,1200,2.8,17.16,0,0,0,0,27.4,25.9,17.1
184,2014-07-19,25.6,23.5,524,28.3,1550,0.3,0,0,0,0,0,6.7,959,4.7,1006,1.8,86.6,1200,3.32,23.91,0,0,0,0,28.4,26.6,17.1
184,2014-07-20,25.4,23.3,146,28.5,1527,0,0,0,0,0,0,4.9,1054,3.9,1145,1.9,88.3,1200,3.34,23.91,0,0,0,0,32.5,27.5,17.3
184,2014-07-21,25.5,23.8,605,27.7,1532,0,0,0,0,0,0,5.7,1112,4,1050,1.9,84,1300,3.16,24.57,0,0,0,0,33.3,28.3,17.2
184,2014-07-22,26.3,23.7,312,28.5,1334,0,0,0,0,0,0,6.4,1112,4.6,1146,2,78.9,1200,3.41,24.99,0,0,0,0,32.4,28.7,17.3
184,2014-07-23,27.5,24,518,29.8,1356,0,0,0,0,0,0,7.2,1536,5.2,1343,2.1,75.9,1100,3.24,23.69,0,0,0,0,32.5,29,17.3
184,2014-07-24,28.8,26.7,139,30.7,1500,0.38,0,0,0,0,0,5.4,1142,3.8,1147,1.5,79.6,1400,1.77,12.58,0,0,0,0,33.9,29.3,17.3
184,2014-07-25,30.4,27.3,518,35.2,1215,6.98,0.1,2219,0.3,2214,0.4,16.7,1825,9.9,1830,4.2,68.9,1200,3.34,25.06,0,0,0,0,35.2,29.5,17.7
184,2014-07-26,26.7,24.7,2325,28.6,9,5.33,0.8,356,0.8,306,1,14.3,40,7.2,108,3.4,81.4,1000,2.23,14.09,0,0,0,0,29.4,29.7,18.5
184,2014-07-27,24.7,23.4,2244,26.7,1735,1.57,0.3,1411,0.4,1321,0.4,5,1127,3.5,1132,1.7,71.6,1600,1.51,9.62,0,0,0,0,25.7,28.7,18.7
184,2014-07-28,25.9,23,627,29,1734,3.3,0.2,1256,0.3,1220,0.6,11.8,1444,6.5,1451,1.9,69.1,1400,2.09,13.26,0,0,0,0,27.7,27.7,17.9
184,2014-07-29,26.4,23.4,442,28.7,1609,0.45,0,0,0,0,0,5,942,4,1002,1.6,83.6,1300,2.75,17.95,0,0,0,0,31.7,27.7,17.8
184,2014-07-30,29.3,24.9,528,34.1,1331,0,0,0,0,0,0,12.9,1643,6.7,1543,2.8,69,1200,3.27,25.52,0,0,0,0,35.7,28.5,17.9
184,2014-07-31,29.1,26.9,603,33.4,1227,2,0,0,0,0,0,14.5,1554,7.6,1602,3.7,73.6,1100,3.17,21.01,0,0,0,0,35.5,29.4,17.8
184,2014-08-01,26.1,24.9,2343,28.8,1346,17.68,1.3,1843,2.7,444,11.7,18.8,1826,9.4,1831,5,88.9,1300,2.28,8.67,0,0,0,0,26.8,29.3,17.9
184,2014-08-02,26.2,24.5,248,28.6,1624,22.17,5.1,632,24.8,616,112.3,23,509,11.3,611,5.6,86.3,1500,0.79,3.68,0,0,0,0,25.3,27,18
184,2014-08-03,26.8,25.6,701,29.2,1624,7.72,0,0,0,0,0,14.1,917,7.7,926,4.6,78.8,1500,2.08,13.33,0,0,0,0,25.8,26.8,20
184,2014-08-04,26.2,24.3,518,29.6,1540,11.2,0.9,821,3.7,753,10.6,11.6,840,6.4,1551,4.2,82.9,1500,2.03,8.89,0,0,0,0,26,27,19.8
184,2014-08-05,27.4,25.3,246,30,1207,0,0,0,0,0,0,7.8,1138,5.7,1504,2.8,82.5,1200,3.19,24.72,0,0,0,0,29,27.2,18.7
184,2014-08-06,26.4,24.6,422,28.2,1458,0,0,0,0,0,0,4.9,1325,3.5,1514,1.6,87.8,1400,2.75,15.37,0,0,0,0,31,28.1,18.4
184,2014-08-07,26.7,25.1,325,28.9,1440,0.25,0,0,0,0,0,5.8,1457,4.7,1457,1.9,87.4,1300,3.02,18.51,0,0,0,0,30.8,28.3,18.4
184,2014-08-08,24.7,24.2,754,25.9,1,3.25,0,0,0,0,0,12.9,1435,6.2,1439,3.6,84.9,1400,0.68,4.19,0,0,0,0,25.7,28.4,18.4
184,2014-08-09,26.1,24.1,321,29.3,1601,0,0,0,0,0,0,8.8,37,4.4,22,2,74.6,1200,2.66,14.64,0,0,0,0,29.1,27.5,18.4
184,2014-08-10,25.4,24.1,2324,28.7,1249,1.7,0,0,0,0,0,10.1,1617,6.7,1635,3.6,78.3,1300,3.34,21.22,0,0,0,0,32.6,27.9,18.7
184,2014-08-11,24.6,23,600,27.2,1305,0.23,0,0,0,0,0,9.2,344,5.3,432,3.1,77.5,1200,3.26,19.69,0,0,0,0,30.7,28.4,18.5
184,2014-08-12,25.7,23.4,629,28.9,1521,0,0,0,0,0,0,5,1619,3.6,1539,2.1,77.6,1300,2.65,19.77,0,0,0,0,32.4,28.5,18.4
184,2014-08-13,25.6,24.1,2400,27.8,1800,0.77,5.1,2356,15.2,2332,6.1,9.6,1514,5.3,1513,2.2,77,1400,2.11,12.29,0,0,0,0,31.7,28.6,18.4
184,2014-08-14,22.5,21.6,219,24,1,21.17,4.5,1,9.2,1,16.9,8.1,1307,4.9,1308,2.2,93.9,1200,0.49,3.27,0,0,0,0,23.9,27.9,18.4
184,2014-08-15,23.5,22.1,411,25.1,1502,11.55,2.2,338,5.5,458,18.4,7.4,533,5.6,506,2,91.8,1400,1.78,8.96,0,0,0,0,26.2,26.6,18.5
184,2014-08-16,24.2,22.3,640,26.2,1450,0,0,0,0,0,0,4.7,1009,3,1324,1.6,82.1,1300,3.31,22.77,0,0,0,0,27.1,26.8,18.4
184,2014-08-17,24.8,23.4,1,27.1,1048,7.9,4.8,1848,12,1818,14.5,10.5,1358,6,1722,2.8,87.6,1000,1.24,7.55,0,0,0,0,25.1,27.2,18.4
184,2014-08-18,26.4,24.3,344,29.2,1215,4.82,2,2212,3.9,2130,7,14.3,1607,7.8,1613,3,82.6,1200,1.13,7.79,0,0,0,0,25.6,26.7,19.1
184,2014-08-19,23.8,23.3,2326,24.8,1239,17.68,6.7,1308,16.5,142,33.4,6.6,120,4.4,126,1.7,93.1,1300,0.86,5.04,0,0,0,0,24.9,26.4,18.8
184,2014-08-20,24.1,23.2,233,24.7,1130,17.92,7,1212,20.6,1137,64.8,4.9,1604,2.6,1039,1.2,95.1,1400,0.58,3.26,0,0,0,0,24.6,25.9,18.8
184,2014-08-21,25.8,24,2315,28.2,322,0.13,0,0,0,0,0,16,435,8.5,642,4.2,77.5,1400,2.53,16.28,0,0,0,0,26.5,25.8,20
184,2014-08-22,25.3,22.5,616,28.5,1439,0,0,0,0,0,0,5,1244,4.2,1223,1.9,79.5,1200,3.22,22.13,0,0,0,0,28.1,26.3,19.2
184,2014-08-23,25.8,22.8,552,27.7,1734,0.32,0,0,0,0,0,5.9,1219,4.6,1214,2,79.6,1100,2.82,17,0,0,0,0,27.2,26.9,19.1
184,2014-08-24,25.9,24.5,424,28.6,1724,9.38,12.3,409,37.2,938,107,7.9,1729,4.7,1736,1.7,90.9,1500,1.27,5.13,0,0,0,0,26.6,26.8,19.2
184,2014-08-25,26.8,25.1,2353,30,1137,8.98,1.5,521,2.5,451,3.3,17.8,1242,10.2,1248,4.2,83.5,1200,3.15,13.86,0,0,0,0,26.7,26.7,19.9
184,2014-08-26,25.7,24.5,2352,27.8,1327,0.08,0,0,0,0,0,7.8,1424,5.1,1427,3.3,82.3,1300,2.73,18.1,0,0,0,0,27.3,27.1,19.9
184,2014-08-27,24.6,23.1,604,27.1,1235,7.55,0.6,1943,1,1919,1,10.4,1440,5.8,1354,2.7,85.4,1200,2.14,11.59,0,0,0,0,26.3,27.2,19.8
184,2014-08-28,22.1,20.9,2326,23.8,7,21.38,1.7,1920,7.7,2321,25.4,10.4,433,6,1939,2.9,91.3,1200,0.42,2.46,0,0,0,0,23,26.7,19.5
184,2014-08-29,22.1,20.9,1,23.3,1435,18.12,3.5,5,7.7,1537,27.9,12.3,608,7.7,530,3.1,92.4,1200,0.51,2.51,0,0,0,0,22.4,25.3,19.4
184,2014-08-30,23.4,22,456,25.8,1432,1.02,0,0,0,0,0,11.9,1516,6.8,1355,3,81.5,1400,2.28,13.21,0,0,0,0,24.9,24.9,19.6
184,2014-08-31,23.3,21.3,609,25.5,1420,0,0,0,0,0,0,10.1,1156,6,1218,2.7,79,1300,2.82,18.33,0,0,0,0,24.6,25.2,19.5
184,2014-09-01,24,22,639,26.5,1706,2.08,0.1,142,0.2,121,0.2,11.6,1618,7.3,1449,3.2,80,1200,3.28,22.14,0,0,0,0,28.2,25.6,19.5
184,2014-09-02,25.1,23,200,27.6,1330,6.5,0,0,0,0,0,12.4,1340,6.8,1344,2.8,84.9,1300,1.66,7.1,0,0,0,0,24.4,25.9,19.5
184,2014-09-03,24.9,23.3,2356,29,1043,9.43,1.7,1428,5.4,1355,7.2,12.2,1123,7.7,1132,3.1,85.4,1000,1.55,8.06,0,0,0,0,24.9,25.9,20.3
184,2014-09-04,24.7,22.9,359,27.5,1324,1.7,0.3,1,0.3,1,0.3,6.2,1331,4.2,1328,2.4,78.4,1200,3.17,22.16,0,0,0,0,26.3,25.9,20.1
184,2014-09-05,24.5,20.9,541,27.5,1543,0,0,0,0,0,0,5.3,1610,4.1,1735,2,72.8,1200,3.04,21.51,0,0,0,0,27.1,26.3,19.7
184,2014-09-06,24.4,23,2340,26.2,1347,1.42,0.4,620,0.4,616,0.4,10.4,1212,7.1,1212,2.5,78.8,1300,2.26,14.39,0,0,0,0,27.1,26.5,19.7
184,2014-09-07,24.8,23,1,27,1410,0,0,0,0,0,0,6.8,1137,4.9,1204,2.3,75.8,1200,3.14,22.78,0,0,0,0,30.1,26.6,19.6
184,2014-09-08,25,22.6,610,28.1,1502,0,0,0,0,0,0,5.2,1217,3.5,1607,2,74.9,1200,3.03,21.35,0,0,0,0,31.3,27.1,19.7
184,2014-09-09,24.4,20.6,642,27.8,1357,0,0,0,0,0,0,5.1,1425,3.8,1211,2,72.6,1100,2.89,19.25,0,0,0,0,29.5,27.3,19.7
184,2014-09-10,23.5,20.8,624,26.3,1312,0,0,0,0,0,0,6.1,1556,4,1637,2.3,60.8,1100,2.63,17.51,0,0,0,0,28.2,27.3,19.8
184,2014-09-11,23.4,19.1,351,26.9,1406,0,0,0,0,0,0,10.9,1548,6.5,1522,2.7,71.4,1300,2.77,18.16,0,0,0,0,28.4,26.8,19.7
184,2014-09-12,23.7,21.4,2029,26.3,1118,8.23,4.3,1934,7.4,1925,9,8.3,1951,4.3,1954,2,74.5,900,1.13,7.3,0,0,0,0,25.4,26.7,19.6
184,2014-09-13,24.1,21.2,159,27.6,1402,0.48,0,0,0,0,0,14.8,1334,6.5,1517,3,68.1,1300,2.62,18.89,0,0,0,0,25.1,26.1,19.7
184,2014-09-14,23,21.4,449,25,1514,0,0,0,0,0,0,11.3,1513,7.2,1321,3.6,76,1200,2.42,15.78,0,0,0,0,25.7,25.8,19.6
184,2014-09-15,24.1,21.7,18,26.7,1502,0,0,0,0,0,0,8,519,5.7,522,2.5,70.1,1200,2.84,17.29,0,0,0,0,28,25.8,19.5
184,2014-09-16,23.8,22.8,408,25.7,1349,0,0,0,0,0,0,6.2,611,3.8,614,1.8,69.1,1300,1.76,11.03,0,0,0,0,26.5,26.1,19.6
184,2014-09-17,23.2,20.8,559,25.6,1636,0,0,0,0,0,0,6,2241,3.7,2117,2,67.6,1200,1.53,9.85,0,0,0,0,24.7,25.9,19.7
184,2014-09-18,21.6,20.7,757,22.3,1657,9.83,1.1,603,1.5,514,3.8,9.7,652,6.6,623,2.1,80.8,1100,0.34,2.73,0,0,0,0,21.8,25.3,19.9
184,2014-09-19,20.3,18.1,2027,22.3,1103,19.77,0.3,1355,1,1847,2.7,9.7,2142,5,2328,2.3,76.9,1000,0.49,3.17,0,0,0,0,20.5,24.5,19.7
184,2014-09-20,21.5,18.1,109,25.7,1606,1.8,0,0,0,0,0,8.9,1318,5.3,1332,2.4,71.1,1300,2.74,15.19,0,0,0,0,22.9,23.7,19.7
184,2014-09-21,22.5,19,532,25.5,1340,0,0,0,0,0,0,10.9,1452,7,1057,3,67.8,1300,2.92,18.98,0,0,0,0,23.2,23.8,19.7
184,2014-09-22,23.4,20.1,423,25.9,1540,1.12,0,0,0,0,0,11.8,1405,5.9,1710,3.2,72.8,1100,1.93,12.54,0,0,0,0,23.3,24,19.6
184,2014-09-23,24,23.3,644,25.6,2339,16.68,5.1,2038,10,1715,44.7,11.1,1743,5.6,1744,3.3,86.5,1200,0.58,3.73,0,0,0,0,23.2,24.2,19.7
184,2014-09-24,24,22,2339,26,230,11.13,2.3,616,4.3,224,10.9,13.9,1748,8.2,1743,3.7,85.6,1300,0.9,3.31,0,0,0,0,23.8,24.2,20.1
184,2014-09-25,22.8,20.5,609,26.1,1516,0,0,0,0,0,0,7.2,132,4.5,37,2.2,76.1,1300,2.82,18.08,0,0,0,0,24.4,24.2,19.9
184,2014-09-26,23,20.1,310,26.8,1312,0,0,0,0,0,0,9.7,1226,5.2,1523,2.6,70.1,1200,2.94,18.34,0,0,0,0,24,24.5,19.9
184,2014-09-27,22.7,20.2,609,25.2,1408,0,0,0,0,0,0,8.6,1235,6.4,1214,2.5,66.5,1200,2.89,20.32,0,0,0,0,25.7,24.4,19.8
184,2014-09-28,23,20.5,249,25.6,1548,0,0,0,0,0,0,8.4,1326,5.6,1333,2.6,73.1,1200,2.84,19.33,0,0,0,0,26.2,24.5,19.8
184,2014-09-29,24.1,19.9,515,29.1,1356,5.08,2.6,2346,4.5,2309,4.5,9.1,1615,4.6,1510,2.6,70.8,1300,2.21,14.9,0,0,0,0,26.3,24.6,19.9
184,2014-09-30,21.5,20.5,359,22.8,1407,11.62,3.1,137,4.6,108,9.8,11.2,1924,6.6,219,2.6,85.9,1200,0.91,4.19,0,0,0,0,22.2,24.7,19.8
184,2014-10-01,22.2,20.6,509,24.6,1218,0.03,0,0,0,0,0,12.4,1239,7.7,1303,3.3,74.6,1200,2.76,16.68,0,0,0,0,22.5,24.1,19.8
184,2014-10-02,22.4,20.5,307,24.9,1642,0,0,0,0,0,0,8.8,2033,5.5,1037,2.6,78.4,1200,2.63,16.11,0,0,0,0,22.5,24,19.8
184,2014-10-03,20.1,18.1,2323,22.1,1406,0,0,0,0,0,0,11,1834,5.8,1936,4.1,67.9,1400,2.08,12.49,0,0,0,0,22.4,24,19.9
184,2014-10-04,20.5,16.9,144,23.5,1329,0,0,0,0,0,0,16.1,1235,9.1,1155,4.4,66.4,1200,2.6,14.61,0,0,0,0,23.3,23.3,19.7
184,2014-10-05,19.9,18,517,22,1534,0,0,0,0,0,0,12.9,2351,8.8,2358,4.6,64,1200,2.8,17.7,0,0,0,0,24.2,23,19.7
184,2014-10-06,20.1,18.6,2342,22.8,1413,0,0,0,0,0,0,12.7,212,8.1,2,4.8,64.4,1200,2.75,15.63,0,0,0,0,23.8,23,19.7
184,2014-10-07,18.9,15.5,426,22.9,1225,0,0,0,0,0,0,8.6,1118,5.8,1126,2.3,64,1200,2.77,16.84,0,0,0,0,23.8,22.8,19.7
184,2014-10-08,19,15,610,22.7,1528,0,0,0,0,0,0,8.8,1504,5.8,1334,2.5,68.9,1300,2.41,16.56,0,0,0,0,22,22.5,19.7
184,2014-10-09,19.9,17.2,447,22.7,1416,0,0,0,0,0,0,9.5,1424,6,1408,2.9,76.4,1300,2.62,14.91,0,0,0,0,23.6,22.4,19.7
184,2014-10-10,21.6,19.1,203,23.5,1352,1.68,0,0,0,0,0,12.8,2328,7,1411,3.6,78.3,1200,2.59,14.16,0,0,0,0,24.9,22.6,19.7
184,2014-10-11,21.2,20.6,2226,22.3,948,0,0,0,0,0,0,15.3,1248,8,1325,5.5,72.8,900,1.03,5.6,0,0,0,0,22.6,22.9,19.8
184,2014-10-12,20.2,18.8,2338,21.1,1448,15.13,1.5,1718,7,2235,27.1,12.7,1953,7,859,4.9,85.6,1400,0.58,1.78,0,0,0,0,20.6,22.5,19.7
184,2014-10-13,19.5,17.4,550,21.2,1417,9.7,2,400,10,358,35.1,16.9,255,10.1,446,5.2,85.8,1400,0.76,3.4,0,0,0,0,19.1,21.3,19.7
184,2014-10-14,19.2,16.5,2356,21.8,1316,0,0,0,0,0,0,8.6,711,5.5,725,2.9,70.5,1200,2.62,14.9,0,0,0,0,19.8,21.2,19.8
184,2014-10-15,16.6,13.2,629,20,1400,0,0,0,0,0,0,5.4,41,3.4,2117,2,63.5,1200,2.68,17.9,0,0,0,0,18.2,21.2,19.8
184,2014-10-16,17.5,15.1,2356,21.4,1128,0,0,0,0,0,0,13.1,1223,7.5,1225,3.7,57.9,1200,2.6,14.44,0,0,0,0,18.4,20.8,20.2
184,2014-10-17,16.5,13.2,730,19.8,1322,0,0,0,0,0,0,5.8,158,4,1201,2,52.4,1200,2.78,18.49,0,0,0,0,19.2,20.3,19.8
184,2014-10-18,17,12.6,220,21.6,1513,0,0,0,0,0,0,7.8,1524,5.3,1402,2.8,49,1200,2.69,18.2,0,0,0,0,19.1,20,19.8
184,2014-10-19,20.2,13.7,516,25.1,1525,0,0,0,0,0,0,6.1,821,3.7,1556,1.8,60.3,1100,2.56,16.67,0,0,0,0,20.8,19.9,19.8
184,2014-10-20,23.2,19.9,55,27.9,1222,0,0,0,0,0,0,9.7,1402,5.7,1406,1.9,67.5,1100,2.69,12.83,0,0,0,0,24.5,20.7,19.8
184,2014-10-21,22.2,19.9,635,25.2,1419,6.02,0.6,411,0.6,404,1.5,9.7,1350,5.3,1424,1.9,85.9,1400,1.32,6.93,0,0,0,0,22.1,21.3,19.8
184,2014-10-22,17.7,16.2,1213,21.8,1,10.97,1.2,1229,4.6,1207,11.9,18.5,454,10.8,456,4.6,83.8,1400,0.64,2.98,0,0,0,0,18.5,21.3,19.8
